Наименование,Регистрационный номер,Год_регистрации,Статус,Регион регистрации,Код ОКАТО,Наименование ОКАТО,Код ОКТМО,Организационно-правовая форма,Код ОКОПФ,"2019, Среднесписочная численность работников","2019, Дебиторская задолженность, RUB","2019, Денежные средства и денежные эквиваленты, RUB","2019, Капитал и резервы, RUB","2019, Заёмные средства (краткосрочные), RUB","2019, Кредиторская задолженность, RUB","2019, Пассивы всего, RUB","2019, Выручка, RUB","2019, Себестоимость продаж, RUB","2019, Валовая прибыль (убыток), RUB","2019, Коммерческие расходы, RUB","2019, Управленческие расходы, RUB","2019, Прибыль (убыток) от продажи, RUB","2019, Доходы от участия в других организациях, RUB","2019, Проценты к получению, RUB","2019, Проценты к уплате, RUB","2019, Прочие доходы, RUB","2019, Прочие расходы, RUB","2019, Прибыль (убыток) до налогообложения , RUB","2019, Текущий налог на прибыль, RUB","2019, Чистая прибыль (убыток), RUB","2019, Прибыль от приносящей доход деятельности, RUB","2019, Всего поступило средств, RUB","2019, Расходы на целевые мероприятия, RUB","2019, Расходы на содержание аппарата управления, RUB","2019, Приобретение основных средств, инвентаря и иного имущества, RUB","2019, Всего использовано средств, RUB","2019, Остаток средств на конец отчетного года, RUB"
"АДЫГИ ИМ. Ю.Х. КАЛМЫКОВА, ФОНД",1117799020283,2011,Действующая,Москва,45296559000,"Москва, Южный, Даниловский",45914000000.0,Фонды,70400,,202000.0,128000.0,330000.0,,,330000.0,,,,,,,,,,,,,,,,2654000.0,,2539000.0,,2539000.0,330000.0
"АЗБУКА Н, СО НКО БФ ДЕНИСА КУРАКИНА",1197700009011,2019,Действующая,Москва,45286575000,"Москва, Центральный, Пресненский",45380000000.0,Благотворительные фонды,70401,,19000.0,3000.0,,,49000.0,23000.0,,,,,,,,,,,,,,,,65000.0,,62000.0,,62000.0,3000.0
"АИФ. ДОБРОЕ СЕРДЦЕ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1057748415977,2005,Действующая,Москва,45277553000,"Москва, Северный, Аэропорт",45333000000.0,Благотворительные фонды,70401,,11811000.0,11235000.0,21670000.0,,1311000.0,23243000.0,8805000.0,,8805000.0,,,8805000.0,,,,142000.0,525000.0,8422000.0,,8158000.0,8158000.0,63133000.0,51027000.0,6158000.0,184000.0,58632000.0,21486000.0
"АЙВЕНГО, НО БФ",1087799028877,2008,Действующая,Москва,45290554000,"Москва, Юго-Восточный, Выхино-Жулебино",45385000000.0,Благотворительные фонды,70401,,5000.0,,,,5000.0,5000.0,,,,,,,,,,,,,,,,,,,,,
"АКАДЕМИКА НОРБЕКОВА, ФОНД",1037739343025,2002,Действующая,Москва,45286575000,"Москва, Центральный, Пресненский",45380000000.0,Благотворительные фонды,70401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АКАЙ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1177700010927,2017,Действующая,Москва,45286585000,"Москва, Центральный, Тверской",45382000000.0,Благотворительные фонды,70401,,682000.0,173000.0,1098000.0,,303000.0,1590000.0,,,,,,,,,,,,,,,,12979000.0,11811000.0,837000.0,,12648000.0,354000.0
"АКТИВАЦИЯ, БФ",1187700018087,2018,Действующая,Москва,45296573000,"Москва, Южный, Нагатинский затон",45919000000.0,Благотворительные фонды,70401,,41000.0,48000.0,135000.0,,,135000.0,,,,,,,,,,,15000.0,-15000.0,,-15000.0,,,,,,,
"АЛЕКСАНДР НЕВСКИЙ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОДЕЙСТВИЯ ДУХОВНОМУ И НРАВСТВЕННОМУ РАЗВИТИЮ МОЛОДЕЖИ",1157700015186,2015,Действующая,Москва,45263579000,"Москва, Восточный, Новокосино",45310000000.0,Благотворительные фонды,70401,,,,-6000.0,,6000.0,,,,,,,,,,,,,,,,,,,,,,
"АЛЕКСАНДР, БФ",1127799000262,2012,Действующая,Москва,45263552000,"Москва, Восточный, Богородское",45301000000.0,Благотворительные фонды,70401,,6000.0,35000.0,41000.0,,2216000.0,2257000.0,,,,,,,,,,,,,,,,1007000.0,962000.0,18000.0,,1015000.0,41000.0
"АЛЕКСАНДРА ЖУКОВА, ФОНД",1057748314260,2005,Действующая,Москва,45293578000,"Москва, Юго-Западный, Обручевский",45905000000.0,Благотворительные фонды,70401,,33000.0,26000.0,21000.0,,35000.0,56000.0,,,,,,,,,,,,,,,,,,,,,
"АЛЕКСАННА, БФ СЕМЬИ ЛЬВОВЫХ",1187700004216,2018,Действующая,Москва,45268562000,"Москва, Западный, Кунцево",45320000000.0,Благотворительные фонды,70401,,,121000.0,,,,121000.0,,,,,,,,,,,,,,,,,,,,,
"АЛИНЫ КАБАЕВОЙ, ФОНД",1087799027007,2008,Действующая,Москва,45268569000,"Москва, Западный, Можайский",45321000000.0,Благотворительные фонды,70401,,130000.0,47459000.0,55024000.0,,2000.0,55171000.0,,,,,,,,,,,,,,,,,5896000.0,6797000.0,,12693000.0,50041000.0
"АЛИОТ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1197700002972,2019,Действующая,Москва,45293554000,"Москва, Юго-Западный, Академический",45397000000.0,Благотворительные фонды,70401,,12000.0,3000.0,15000.0,,,15000.0,,,,,,,,,,,,,,,,21000.0,,,,6000.0,15000.0
"АЛФАВИТ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1047796688642,2004,Действующая,Москва,45286575000,"Москва, Центральный, Пресненский",45380000000.0,Благотворительные фонды,70401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛЫЕ ПАРУСА, НО БФ",1037707022088,2003,Действующая,Москва,45286555000,"Москва, Центральный, Басманный",45375000000.0,Благотворительные фонды,70401,,247000.0,4374000.0,,,34000.0,13110000.0,,,,,,,,,,46000.0,135000.0,-89000.0,,-89000.0,-88000.0,30073000.0,29518000.0,1787000.0,,31422000.0,4572000.0
"АЛЬФА ЦР, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1187700010827,2018,Действующая,Москва,45268592000,"Москва, Западный, Тропарево-Никулино",45327000000.0,Благотворительные фонды,70401,,64000.0,12000.0,,,64000.0,76000.0,,,,,,,,,,,,,,,,16362000.0,13753000.0,2806000.0,,16559000.0,12000.0
"АЛЬФА-ШАНС, БФ",1137799022481,2013,Действующая,Москва,45286565000,"Москва, Центральный, Красносельский",45378000000.0,Благотворительные фонды,70401,,52000.0,11078000.0,11127000.0,,5000.0,11132000.0,,,,,,,,,,,,,,,,26714000.0,30962000.0,676000.0,,31638000.0,11125000.0
БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ И СОДЕЙСТВИЯ РАЗВИТИЮ СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ,1127799012307,2012,Действующая,Москва,45296559000,"Москва, Южный, Даниловский",45914000000.0,Благотворительные фонды,70401,,,37000.0,37000.0,,,37000.0,,,,,,,,,,,,,,,,,986000.0,,,986000.0,37000.0
"АНАЛИТИЧЕСКИЙ ЦЕНТР ФОРУМ, ФОНД",1107799031801,2010,Действующая,Москва,45286596000,"Москва, Центральный, Якиманка",45384000000.0,Общественные фонды,70403,,57664000.0,17499000.0,14806000.0,,62047000.0,92957000.0,71666000.0,36320000.0,35346000.0,,34988000.0,358000.0,,,,1136000.0,1100000.0,394000.0,,311000.0,311000.0,150768000.0,426000.0,147771000.0,,150768000.0,
"АНАСТАСИЯ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1132300004209,2013,Действующая,Москва,45296559000,"Москва, Южный, Даниловский",45914000000.0,Благотворительные фонды,70401,,5916000.0,4939000.0,11053000.0,,251000.0,11436000.0,345000.0,4000.0,341000.0,,,341000.0,,497000.0,,,,838000.0,,789000.0,788000.0,38842000.0,31202000.0,3824000.0,65000.0,35091000.0,10617000.0
"АНГЕЛА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147799018146,2014,Действующая,Москва,45296555000,"Москва, Южный, Бирюлево Западное",45912000000.0,Благотворительные фонды,70401,,,10000.0,10000.0,,,10000.0,,,,,,,,,,,,,,,,559000.0,482000.0,26000.0,,555000.0,4000.0
"АНДРЕЯ БОГОЛЮБСКОГО, ФОНД",1117799010230,2011,Действующая,Москва,45286570000,"Москва, Центральный, Мещанский",45379000000.0,Общественные фонды,70403,,,1000.0,,,,1000.0,,,,,,,,,,,,,,,,6004000.0,5969000.0,34000.0,,6003000.0,1000.0
"АНДРЕЯ ВОЗНЕСЕНСКОГО, ФОНД",1117799009767,2011,Действующая,Москва,45286580000,"Москва, Центральный, Таганский",45381000000.0,Благотворительные фонды,70401,,62000.0,6407000.0,,,,7288000.0,,,,,,,,,,,,,,,,78300000.0,65050000.0,7423000.0,,72645000.0,6407000.0
"АНДРЕЯ ГОНЧАРЕНКО, ФОНД",1117799021075,2011,Действующая,Москва,45293566000,"Москва, Юго-Западный, Коньково",45902000000.0,Благотворительные фонды,70401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНДРЕЯ КУРАЕВА, ФОНД",1067746367710,2006,Действующая,Москва,45268588000,"Москва, Западный, Солнцево",45326000000.0,Общественные фонды,70403,,3000.0,,3000.0,,,3000.0,,,,,,,,,,,,,,,,,,,,,3000.0
"АНДРЕЯ МЕЛЬНИЧЕНКО, ФОНД",1167700068370,2016,Действующая,Москва,45296559000,"Москва, Южный, Даниловский",45914000000.0,Благотворительные фонды,70401,,29273000.0,2664000.0,,,6813000.0,46273000.0,,,,,,,,,,,,,,,,277150000.0,206622000.0,32384000.0,16362000.0,267311000.0,26905000.0
"АНДРЕЯ РУБЛЕВА, ФОНД",1177700021070,2017,Действующая,Москва,45286596000,"Москва, Центральный, Якиманка",45384000000.0,Благотворительные фонды,70401,,10000.0,,7000.0,,3000.0,10000.0,,,,,,,,,,,,,,,,,,,,,
"АНДРОМЕДА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147700000403,2014,Действующая,Москва,45296561000,"Москва, Южный, Донской",45915000000.0,Благотворительные фонды,70401,,2000.0,603000.0,,,,659000.0,,,,,,,,,,,,,,,,1478000.0,706000.0,135000.0,,841000.0,659000.0
"АННА МАРИЯ, БФ",1180400000220,2018,Действующая,Москва,45290564000,"Москва, Юго-Восточный, Лефортово",45388000000.0,Благотворительные фонды,70401,,32000.0,4000.0,14000.0,,22000.0,36000.0,,,,,,,,,,,7000.0,-7000.0,,-7000.0,,2183000.0,2327000.0,261000.0,,2628000.0,14000.0
"АННА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1126100002357,2012,Действующая,Москва,45263555000,"Москва, Восточный, Вешняки",45302000000.0,Благотворительные фонды,70401,,,1000.0,119000.0,,294000.0,413000.0,,,,,,,,,,,,,,,,653000.0,,653000.0,,653000.0,
"АНСАМБЛЯ ИМЕНИ ИГОРЯ МОИСЕЕВА, ФОНД",1147799016716,2014,Действующая,Москва,45293578000,"Москва, Юго-Западный, Обручевский",45905000000.0,Благотворительные фонды,70401,,,17000.0,412000.0,,5000.0,417000.0,,,,,,,,,,,,,,,,29000.0,,,,17000.0,12000.0
"АНТЕЙ, РОБФ",1037739709260,1996,Действующая,Москва,45277584000,"Москва, Северный, Молжаниновский",45343000000.0,Благотворительные фонды,70401,,,1226000.0,,,,1226000.0,,,,,,,,,,,,,,,,563000.0,248000.0,,,273000.0,1225000.0
"АНТИКРИЗИС, ФОНД",1097799002730,2009,Действующая,Москва,45293590000,"Москва, Юго-Западный, Черемушки",45908000000.0,Общественные фонды,70403,,221000.0,19000.0,,1380000.0,331000.0,240000.0,,,,,,,,,,,,,,,,374000.0,,300000.0,,300000.0,-1471000.0
"АНТИМИННЫЙ ЦЕНТР, ОФ",1027739111663,2001,Действующая,Москва,45263588000,"Москва, Восточный, Соколиная гора",45314000000.0,Общественные фонды,70403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АПОСТОЛА АНДРЕЯ ПЕРВОЗВАННОГО; ФОНД АНДРЕЯ ПЕРВОЗВАННОГО, ФОНД",1027746000446,2002,Действующая,Москва,45286555000,"Москва, Центральный, Басманный",45375000000.0,Общественные фонды,70403,,8705000.0,23000.0,84857000.0,,519000.0,86277000.0,,,,,,,,,,,,,,,6408000.0,167706000.0,110092000.0,42207000.0,203000.0,152692000.0,79922000.0
"АРИНА РОДИОНОВНА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1187700017779,2018,Действующая,Москва,45293590000,"Москва, Юго-Западный, Черемушки",45908000000.0,Благотворительные фонды,70401,,,10000.0,10000.0,,,10000.0,,,,,,,,,,,,,,,,,,,,,10000.0
"АРИНА, БФ",1147799019312,2014,Действующая,Москва,45290568000,"Москва, Юго-Восточный, Люблино",45389000000.0,Благотворительные фонды,70401,,,839000.0,-517000.0,,,839000.0,,,,,,,,,,,517000.0,-517000.0,,-517000.0,,,,,,,
"АРИФМЕТИКА ДОБРА, БФ",1147799003770,2014,Действующая,Москва,45296559000,"Москва, Южный, Даниловский",45914000000.0,Благотворительные фонды,70401,,3783000.0,4172000.0,76979000.0,,1100000.0,80178000.0,,,,,,,,2397000.0,,601000.0,4444000.0,-1446000.0,,-1533000.0,,133875000.0,118332000.0,26295000.0,,146160000.0,69118000.0
"АРС ЛОНГА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1027700465385,2001,Действующая,Москва,45286585000,"Москва, Центральный, Тверской",45382000000.0,Благотворительные фонды,70401,,87000.0,5455000.0,,,2378000.0,5542000.0,,,,,,,,,,,,,,,4650000.0,22369000.0,19798000.0,,,19916000.0,3164000.0
"АРТ ФЕСТИВАЛЬ-РОЗА ВЕТРОВ, ДБФ",1027739678724,2000,Действующая,Москва,45283577000,"Москва, Северо-Западный, Строгино",45370000000.0,Благотворительные фонды,70401,,1282000.0,3473000.0,3571000.0,,1184000.0,4755000.0,,,,,,,,,,,,,,,174000.0,38687000.0,38297000.0,2454000.0,,40751000.0,473000.0
"АРТЕМИДА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700019916,2015,Действующая,Москва,45286575000,"Москва, Центральный, Пресненский",45380000000.0,Благотворительные фонды,70401,,5000.0,12164000.0,11978000.0,,,12211000.0,,,,,,,,,,,,,,,,-2714000.0,14300000.0,2658000.0,,17413000.0,11978000.0
"АРТЕРИАЛЬНАЯ ГИПЕРТОНИЯ, ФОНД",1057746021805,2005,Действующая,Москва,45268562000,"Москва, Западный, Кунцево",45320000000.0,Благотворительные фонды,70401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АРТИСТ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1087799033630,2008,Действующая,Москва,45286580000,"Москва, Центральный, Таганский",45381000000.0,Благотворительные фонды,70401,,3776000.0,16978000.0,19793000.0,,1585000.0,22258000.0,25000.0,29000.0,-4000.0,,,-4000.0,,,,38000.0,25000.0,9000.0,,1000.0,1000.0,92820000.0,73097000.0,11709000.0,314000.0,85423000.0,19061000.0
"АРТЭС, КБФ",1027739859663,1999,Действующая,Москва,45286575000,"Москва, Центральный, Пресненский",45380000000.0,Благотворительные фонды,70401,,5324000.0,16974000.0,,,2168000.0,36251000.0,101669000.0,82123000.0,19546000.0,,11675000.0,7871000.0,,524000.0,,2655000.0,10204000.0,846000.0,,646000.0,646000.0,665000.0,175000.0,8497000.0,,8672000.0,34083000.0
"АРХАНГЕЛА МИХАИЛА, БФ",1087799030923,2008,Действующая,Москва,45293554000,"Москва, Юго-Западный, Академический",45397000000.0,Благотворительные фонды,70401,,,2000.0,,,,2000.0,,,,,,,,,,,,,,,,,,,,,
"АРХАНГЕЛА МИХАИЛА, ФОНД",1107799021230,2010,Действующая,Москва,45286596000,"Москва, Центральный, Якиманка",45384000000.0,Благотворительные фонды,70401,,124000.0,9793000.0,,,196000.0,11023000.0,,,,,,,,,,,,,,,,22931000.0,17236000.0,1579000.0,158000.0,18973000.0,9806000.0
"АРХИТЕКТУРНЫЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ИМЕНИ ЯКОВА ЧЕРНИХОВА, МОФ",1027739652082,1995,Действующая,Москва,45286570000,"Москва, Центральный, Мещанский",45379000000.0,Благотворительные фонды,70401,,356000.0,156000.0,,,581000.0,1009000.0,,,,,,,,,,,,,,,412000.0,1132000.0,580000.0,404000.0,,984000.0,156000.0
"АСЕНЬКА, БФ",1167700061000,2016,Действующая,Москва,45280577000,"Москва, Северо-Восточный, Ростокино",45360000000.0,Благотворительные фонды,70401,,5000.0,416000.0,416000.0,,,421000.0,,,,,,,,,,,,,,,,398000.0,,139000.0,,155000.0,416000.0
"АСТРЕЯ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147799018905,2014,Действующая,Москва,45286590000,"Москва, Центральный, Хамовники",45383000000.0,Благотворительные фонды,70401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АТИКВА (НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ), БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ ЕВРЕЙСКОЙ КУЛЬТУРЫ",1027700124913,1997,Действующая,Москва,45286575000,"Москва, Центральный, Пресненский",45380000000.0,Благотворительные фонды,70401,,8000.0,,8000.0,,,8000.0,,,,,,,,,,,,,,,,,,,,,
"АФАЛИНЫ, БФ",1197700010089,2019,Действующая,Москва,45297574102,"Москва, Новомосковский, Сосенское, п Коммунарка",45958000000.0,Благотворительные фонды,70401,,3000.0,5000.0,,,3000.0,8000.0,,,,,,,,,,,,,,,,15000.0,,15000.0,,15000.0,
"БАСТИОН, БФСП",1037739519993,1997,Действующая,Москва,45286585000,"Москва, Центральный, Тверской",45382000000.0,Благотворительные фонды,70401,,60000.0,2472000.0,,,16000.0,2532000.0,,,,,,,,,,,,,,,,6210000.0,3265000.0,1034000.0,,4354000.0,2515000.0
БАТАЛОВ-ФОНД,1187700013995,2018,Действующая,Москва,45286596000,"Москва, Центральный, Якиманка",45384000000.0,Благотворительные фонды,70401,,,,,,,,,,,,,,,,,,,,,,,1770000.0,1631000.0,139000.0,,1770000.0,
"БЕЗ БАРЬЕРОВ, РОФ",1107799033638,2010,Действующая,Москва,45296593000,"Москва, Южный, Чертаново Северное",45924000000.0,Общественные фонды,70403,,8000.0,2115000.0,2054000.0,,69000.0,2123000.0,,,,,,,,,,,,,,,,3144000.0,13000.0,2087000.0,,2103000.0,2054000.0
"БЕЗОПАСНОСТЬ И ЗАКОННОСТЬ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1087799036126,2008,Действующая,Москва,45268562000,"Москва, Западный, Кунцево",45320000000.0,Благотворительные фонды,70401,,123682000.0,14149000.0,1499000.0,,435000.0,273330000.0,,,,,,,,,,1672000.0,,1672000.0,,1622000.0,1672000.0,723172000.0,538680000.0,21837000.0,134000.0,560651000.0,269724000.0
"БЕЗРАЗЛИЧИЯ. НЕТ, БФ",1157700020345,2015,Действующая,Москва,45286560000,"Москва, Центральный, Замоскворечье",45376000000.0,Благотворительные фонды,70401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛОЕ СИЯНИЕ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1197700015776,2019,Действующая,Москва,45280561000,"Москва, Северо-Восточный, Бутырский",45353000000.0,Благотворительные фонды,70401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛЫЙ ИРИС, ФОНД",1167700056270,2016,Действующая,Москва,45290586000,"Москва, Юго-Восточный, Рязанский",45394000000.0,Благотворительные фонды,70401,,1954000.0,2469000.0,6597000.0,,22000.0,6619000.0,1519000.0,1468000.0,51000.0,,,51000.0,,,,5000.0,,56000.0,,5000.0,5000.0,9536000.0,3717000.0,678000.0,86000.0,4531000.0,6597000.0
"БЕЛЬКАНТО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1067746154904,2006,Действующая,Москва,45286575000,"Москва, Центральный, Пресненский",45380000000.0,Благотворительные фонды,70401,,14550000.0,4338000.0,37279000.0,,2838000.0,40901000.0,91611000.0,37816000.0,53795000.0,22991000.0,22261000.0,8543000.0,,,,15000.0,4635000.0,3923000.0,,2241000.0,16173000.0,16173000.0,7024000.0,,,7024000.0,17946000.0
"БЕНЕФИС, ФОНД",1027700084829,1997,Действующая,Москва,45286585000,"Москва, Центральный, Тверской",45382000000.0,Благотворительные фонды,70401,,31000.0,53000.0,,,84000.0,84000.0,,,,,,,,,,,,,,,,877000.0,20000.0,811000.0,,831000.0,61000.0
"БЕРЕГ ДЕТСТВА, БФ",1167700074728,2016,Действующая,Москва,45293562000,"Москва, Юго-Западный, Зюзино",45901000000.0,Благотворительные фонды,70401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЕФ,1057748732414,2005,Действующая,Москва,45286565000,"Москва, Центральный, Красносельский",45378000000.0,Благотворительные фонды,70401,,,8000.0,,,,8000.0,4000.0,4000.0,,,,,,,,,,,,,,4000.0,,,,4000.0,8000.0
"БИ ХЕППИ, БФ",1177700014249,2017,Действующая,Москва,45293594000,"Москва, Юго-Западный, Южное Бутово",45909000000.0,Благотворительные фонды,70401,,,8000.0,,,42000.0,42000.0,,,,,,,,,,,,,,,,54000.0,46000.0,,,46000.0,8000.0
"БИМ, ФОНД",1027700592138,2001,Действующая,Москва,45286555000,"Москва, Центральный, Басманный",45375000000.0,Благотворительные фонды,70401,,,856000.0,6978000.0,,1568000.0,8546000.0,,,,,,,,,,85000.0,26000.0,59000.0,13000.0,46000.0,,8677000.0,7851000.0,,,7877000.0,856000.0
БИФ ПОМОГИ.ОРГ,1057748529684,2005,Действующая,Москва,45286570000,"Москва, Центральный, Мещанский",45379000000.0,Благотворительные фонды,70401,,58582000.0,56564000.0,123755000.0,,795000.0,124550000.0,,,,,,,,,,2092000.0,126000.0,1966000.0,,1966000.0,,104565000.0,113321000.0,4461000.0,,119921000.0,123755000.0
